Type,Library,Test,Result
4. Roundtrip,RapidJSON (C++),roundtrip13,true
4. Roundtrip,RapidJSON (C++),roundtrip14,true
4. Roundtrip,RapidJSON (C++),roundtrip15,true
4. Roundtrip,RapidJSON (C++),roundtrip16,true
4. Roundtrip,RapidJSON (C++),roundtrip17,true
4. Roundtrip,RapidJSON (C++),roundtrip18,true
4. Roundtrip,RapidJSON (C++),roundtrip19,true
4. Roundtrip,RapidJSON (C++),roundtrip20,true
4. Roundtrip,RapidJSON (C++),roundtrip21,true
4. Roundtrip,RapidJSON (C++),roundtrip22,true
4. Roundtrip,RapidJSON (C++),roundtrip23,true
4. Roundtrip,RapidJSON (C++),roundtrip24,true
4. Roundtrip,RapidJSON (C++),roundtrip25,true
4. Roundtrip,RapidJSON (C++),roundtrip26,true
4. Roundtrip,RapidJSON (C++),roundtrip27,true
1. Parse Validation,sajson (C++),pass01,true
1. Parse Validation,sajson (C++),pass02,true
1. Parse Validation,sajson (C++),pass03,true
1. Parse Validation,sajson (C++),fail02,true
1. Parse Validation,sajson (C++),fail03,true
1. Parse Validation,sajson (C++),fail04,true
1. Parse Validation,sajson (C++),fail05,true
1. Parse Validation,sajson (C++),fail06,true
1. Parse Validation,sajson (C++),fail07,true
1. Parse Validation,sajson (C++),fail08,true
1. Parse Validation,sajson (C++),fail09,true
1. Parse Validation,sajson (C++),fail10,true
1. Parse Validation,sajson (C++),fail11,true
1. Parse Validation,sajson (C++),fail12,true
1. Parse Validation,sajson (C++),fail13,true
1. Parse Validation,sajson (C++),fail14,true
1. Parse Validation,sajson (C++),fail15,true
1. Parse Validation,sajson (C++),fail16,true
1. Parse Validation,sajson (C++),fail17,true
1. Parse Validation,sajson (C++),fail19,true
1. Parse Validation,sajson (C++),fail20,true
1. Parse Validation,sajson (C++),fail21,true
1. Parse Validation,sajson (C++),fail22,true
1. Parse Validation,sajson (C++),fail23,true
1. Parse Validation,sajson (C++),fail24,true
1. Parse Validation,sajson (C++),fail25,true
1. Parse Validation,sajson (C++),fail26,true
1. Parse Validation,sajson (C++),fail27,true
1. Parse Validation,sajson (C++),fail28,true
1. Parse Validation,sajson (C++),fail29,true
1. Parse Validation,sajson (C++),fail30,true
1. Parse Validation,sajson (C++),fail31,true
1. Parse Validation,sajson (C++),fail32,true
1. Parse Validation,sajson (C++),fail33,true
2. Parse Double,sajson (C++),double01,true
2. Parse Double,sajson (C++),double02,true
2. Parse Double,sajson (C++),double03,true
2. Parse Double,sajson (C++),double04,true
2. Parse Double,sajson (C++),double05,true
2. Parse Double,sajson (C++),double06,true
2. Parse Double,sajson (C++),double07,true
2. Parse Double,sajson (C++),double08,true
2. Parse Double,sajson (C++),double09,true
2. Parse Double,sajson (C++),double10,true
2. Parse Double,sajson (C++),double11,true
2. Parse Double,sajson (C++),double12,true
2. Parse Double,sajson (C++),double13,true
2. Parse Double,sajson (C++),double14,true
2. Parse Double,sajson (C++),double15,true
2. Parse Double,sajson (C++),double16,true
2. Parse Double,sajson (C++),double17,true
2. Parse Double,sajson (C++),double18,true
2. Parse Double,sajson (C++),double19,false
2. Parse Double,sajson (C++),double20,true
2. Parse Double,sajson (C++),double21,false
2. Parse Double,sajson (C++),double22,false
2. Parse Double,sajson (C++),double23,false
2. Parse Double,sajson (C++),double24,false
2. Parse Double,sajson (C++),double25,true
2. Parse Double,sajson (C++),double26,true
2. Parse Double,sajson (C++),double27,true
2. Parse Double,sajson (C++),double28,false
2. Parse Double,sajson (C++),double29,false
2. Parse Double,sajson (C++),double30,true
2. Parse Double,sajson (C++),double31,true
2. Parse Double,sajson (C++),double32,false
2. Parse Double,sajson (C++),double33,true
2. Parse Double,sajson (C++),double34,true
2. Parse Double,sajson (C++),double35,true
2. Parse Double,sajson (C++),double36,false
2. Parse Double,sajson (C++),double37,false
2. Parse Double,sajson (C++),double38,false
2. Parse Double,sajson (C++),double39,false
2. Parse Double,sajson (C++),double40,false
2. Parse Double,sajson (C++),double41,false
2. Parse Double,sajson (C++),double42,false
2. Parse Double,sajson (C++),double43,false
2. Parse Double,sajson (C++),double44,false
2. Parse Double,sajson (C++),double45,true
2. Parse Double,sajson (C++),double46,true
2. Parse Double,sajson (C++),double47,true
2. Parse Double,sajson (C++),double48,true
2. Parse Double,sajson (C++),double49,true
2. Parse Double,sajson (C++),double50,true
2. Parse Double,sajson (C++),double51,false
2. Parse Double,sajson (C++),double52,true
2. Parse Double,sajson (C++),double53,false
2. Parse Double,sajson (C++),double54,true
2. Parse Double,sajson (C++),double55,true
2. Parse Double,sajson (C++),double56,false
2. Parse Double,sajson (C++),double57,false
2. Parse Double,sajson (C++),double58,true
2. Parse Double,sajson (C++),double59,false
2. Parse Double,sajson (C++),double60,false
2. Parse Double,sajson (C++),double61,false
2. Parse Double,sajson (C++),double62,false
2. Parse Double,sajson (C++),double63,false
2. Parse Double,sajson (C++),double64,false
2. Parse Double,sajson (C++),double65,false
2. Parse Double,sajson (C++),double66,false
3. Parse String,sajson (C++),string01,true
3. Parse String,sajson (C++),string02,true
3. Parse String,sajson (C++),string03,true
3. Parse String,sajson (C++),string04,true
3. Parse String,sajson (C++),string05,true
3. Parse String,sajson (C++),string06,true
3. Parse String,sajson (C++),string07,true
3. Parse String,sajson (C++),string08,true
3. Parse String,sajson (C++),string09,true
1. Parse Validation,taocpp/json (C++11),pass01,true
1. Parse Validation,taocpp/json (C++11),pass02,true
1. Parse Validation,taocpp/json (C++11),pass03,true
1. Parse Validation,taocpp/json (C++11),fail02,true
1. Parse Validation,taocpp/json (C++11),fail03,true
1. Parse Validation,taocpp/json (C++11),fail04,true
1. Parse Validation,taocpp/json (C++11),fail05,true
1. Parse Validation,taocpp/json (C++11),fail06,true
1. Parse Validation,taocpp/json (C++11),fail07,true
1. Parse Validation,taocpp/json (C++11),fail08,true
1. Parse Validation,taocpp/json (C++11),fail09,true
1. Parse Validation,taocpp/json (C++11),fail10,true
1. Parse Validation,taocpp/json (C++11),fail11,true
1. Parse Validation,taocpp/json (C++11),fail12,true
1. Parse Validation,taocpp/json (C++11),fail13,true
1. Parse Validation,taocpp/json (C++11),fail14,true
1. Parse Validation,taocpp/json (C++11),fail15,true
1. Parse Validation,taocpp/json (C++11),fail16,true
1. Parse Validation,taocpp/json (C++11),fail17,true
1. Parse Validation,taocpp/json (C++11),fail19,true
1. Parse Validation,taocpp/json (C++11),fail20,true
1. Parse Validation,taocpp/json (C++11),fail21,true
1. Parse Validation,taocpp/json (C++11),fail22,true
1. Parse Validation,taocpp/json (C++11),fail23,true
1. Parse Validation,taocpp/json (C++11),fail24,true
1. Parse Validation,taocpp/json (C++11),fail25,true
1. Parse Validation,taocpp/json (C++11),fail26,true
1. Parse Validation,taocpp/json (C++11),fail27,true
1. Parse Validation,taocpp/json (C++11),fail28,true
1. Parse Validation,taocpp/json (C++11),fail29,true
1. Parse Validation,taocpp/json (C++11),fail30,true
1. Parse Validation,taocpp/json (C++11),fail31,true
1. Parse Validation,taocpp/json (C++11),fail32,true
1. Parse Validation,taocpp/json (C++11),fail33,true
2. Parse Double,taocpp/json (C++11),double01,true
2. Parse Double,taocpp/json (C++11),double02,true
2. Parse Double,taocpp/json (C++11),double03,true
2. Parse Double,taocpp/json (C++11),double04,true
2. Parse Double,taocpp/json (C++11),double05,true
2. Parse Double,taocpp/json (C++11),double06,true
2. Parse Double,taocpp/json (C++11),double07,true
2. Parse Double,taocpp/json (C++11),double08,true
2. Parse Double,taocpp/json (C++11),double09,true
2. Parse Double,taocpp/json (C++11),double10,true
2. Parse Double,taocpp/json (C++11),double11,true
2. Parse Double,taocpp/json (C++11),double12,true
2. Parse Double,taocpp/json (C++11),double13,true
2. Parse Double,taocpp/json (C++11),double14,true
2. Parse Double,taocpp/json (C++11),double15,true
2. Parse Double,taocpp/json (C++11),double16,true
2. Parse Double,taocpp/json (C++11),double17,true
2. Parse Double,taocpp/json (C++11),double18,true
2. Parse Double,taocpp/json (C++11),double19,true
2. Parse Double,taocpp/json (C++11),double20,true
2. Parse Double,taocpp/json (C++11),double21,true
2. Parse Double,taocpp/json (C++11),double22,true
2. Parse Double,taocpp/json (C++11),double23,true
2. Parse Double,taocpp/json (C++11),double24,true
2. Parse Double,taocpp/json (C++11),double25,true
2. Parse Double,taocpp/json (C++11),double26,true
2. Parse Double,taocpp/json (C++11),double27,true
2. Parse Double,taocpp/json (C++11),double28,true
2. Parse Double,taocpp/json (C++11),double29,true
2. Parse Double,taocpp/json (C++11),double30,true
2. Parse Double,taocpp/json (C++11),double31,true
2. Parse Double,taocpp/json (C++11),double32,true
2. Parse Double,taocpp/json (C++11),double33,true
2. Parse Double,taocpp/json (C++11),double34,true
2. Parse Double,taocpp/json (C++11),double35,true
2. Parse Double,taocpp/json (C++11),double36,true
2. Parse Double,taocpp/json (C++11),double37,true
2. Parse Double,taocpp/json (C++11),double38,true
2. Parse Double,taocpp/json (C++11),double39,true
2. Parse Double,taocpp/json (C++11),double40,true
2. Parse Double,taocpp/json (C++11),double41,true
2. Parse Double,taocpp/json (C++11),double42,true
2. Parse Double,taocpp/json (C++11),double43,true
2. Parse Double,taocpp/json (C++11),double44,true
2. Parse Double,taocpp/json (C++11),double45,true
2. Parse Double,taocpp/json (C++11),double46,true
2. Parse Double,taocpp/json (C++11),double47,true
2. Parse Double,taocpp/json (C++11),double48,true
2. Parse Double,taocpp/json (C++11),double49,true
2. Parse Double,taocpp/json (C++11),double50,true
2. Parse Double,taocpp/json (C++11),double51,true
2. Parse Double,taocpp/json (C++11),double52,true
2. Parse Double,taocpp/json (C++11),double53,true
2. Parse Double,taocpp/json (C++11),double54,true
2. Parse Double,taocpp/json (C++11),double55,true
2. Parse Double,taocpp/json (C++11),double56,true
2. Parse Double,taocpp/json (C++11),double57,true
2. Parse Double,taocpp/json (C++11),double58,true
2. Parse Double,taocpp/json (C++11),double59,true
2. Parse Double,taocpp/json (C++11),double60,true
2. Parse Double,taocpp/json (C++11),double61,true
2. Parse Double,taocpp/json (C++11),double62,true
2. Parse Double,taocpp/json (C++11),double63,true
2. Parse Double,taocpp/json (C++11),double64,true
2. Parse Double,taocpp/json (C++11),double65,true
2. Parse Double,taocpp/json (C++11),double66,true
3. Parse String,taocpp/json (C++11),string01,true
3. Parse String,taocpp/json (C++11),string02,true
3. Parse String,taocpp/json (C++11),string03,true
3. Parse String,taocpp/json (C++11),string04,true
3. Parse String,taocpp/json (C++11),string05,true
3. Parse String,taocpp/json (C++11),string06,true
3. Parse String,taocpp/json (C++11),string07,true
3. Parse String,taocpp/json (C++11),string08,true
3. Parse String,taocpp/json (C++11),string09,true
4. Roundtrip,taocpp/json (C++11),roundtrip01,true
4. Roundtrip,taocpp/json (C++11),roundtrip02,true
4. Roundtrip,taocpp/json (C++11),roundtrip03,true
4. Roundtrip,taocpp/json (C++11),roundtrip04,true
4. Roundtrip,taocpp/json (C++11),roundtrip05,true
4. Roundtrip,taocpp/json (C++11),roundtrip06,true
4. Roundtrip,taocpp/json (C++11),roundtrip07,true
4. Roundtrip,taocpp/json (C++11),roundtrip08,true
4. Roundtrip,taocpp/json (C++11),roundtrip09,true
4. Roundtrip,taocpp/json (C++11),roundtrip10,true
4. Roundtrip,taocpp/json (C++11),roundtrip11,true
4. Roundtrip,taocpp/json (C++11),roundtrip12,true
4. Roundtrip,taocpp/json (C++11),roundtrip13,true
4. Roundtrip,taocpp/json (C++11),roundtrip14,true
4. Roundtrip,taocpp/json (C++11),roundtrip15,true
4. Roundtrip,taocpp/json (C++11),roundtrip16,true
4. Roundtrip,taocpp/json (C++11),roundtrip17,true
4. Roundtrip,taocpp/json (C++11),roundtrip18,true
4. Roundtrip,taocpp/json (C++11),roundtrip19,true
4. Roundtrip,taocpp/json (C++11),roundtrip20,true
4. Roundtrip,taocpp/json (C++11),roundtrip21,true
4. Roundtrip,taocpp/json (C++11),roundtrip22,true
4. Roundtrip,taocpp/json (C++11),roundtrip23,true
4. Roundtrip,taocpp/json (C++11),roundtrip24,true
4. Roundtrip,taocpp/json (C++11),roundtrip25,true
4. Roundtrip,taocpp/json (C++11),roundtrip26,true
4. Roundtrip,taocpp/json (C++11),roundtrip27,true
